0 [0.00e+00, 0.00e+00]
100 [-1.03e-02, -2.98e-02]
200 [1.64e-01, -7.84e-03]
300 [3.97e-01, 1.21e-04]
400 [5.65e-01, 4.38e-03]
500 [6.90e-01, 5.38e-03]
600 [7.79e-01, 6.79e-03]
700 [8.39e-01, 8.18e-03]
800 [8.78e-01, 9.56e-03]
900 [9.03e-01, 1.07e-02]
1000 [9.21e-01, 1.17e-02]
1100 [9.34e-01, 1.24e-02]
1200 [9.43e-01, 1.27e-02]
1300 [9.50e-01, 1.31e-02]
1400 [9.55e-01, 1.32e-02]
1500 [9.59e-01, 1.32e-02]
1600 [9.63e-01, 1.32e-02]
1700 [9.65e-01, 1.31e-02]
1800 [9.66e-01, 1.30e-02]
1900 [9.70e-01, 1.31e-02]
2000 [9.71e-01, 1.29e-02]
2100 [9.71e-01, 1.27e-02]
2200 [9.75e-01, 1.29e-02]
2300 [9.76e-01, 1.30e-02]
2400 [9.76e-01, 1.29e-02]
2500 [9.78e-01, 1.26e-02]
2600 [9.77e-01, 1.24e-02]
2700 [9.80e-01, 1.25e-02]
2800 [9.80e-01, 1.23e-02]
2900 [9.82e-01, 1.23e-02]
3000 [9.81e-01, 1.22e-02]
3100 [9.82e-01, 1.22e-02]
3200 [9.83e-01, 1.20e-02]
3300 [9.83e-01, 1.20e-02]
3400 [9.84e-01, 1.19e-02]
3500 [9.83e-01, 1.17e-02]
3600 [9.85e-01, 1.18e-02]
3700 [9.85e-01, 1.17e-02]
3800 [9.84e-01, 1.16e-02]
3900 [9.86e-01, 1.16e-02]
4000 [9.86e-01, 1.14e-02]
4100 [9.85e-01, 1.14e-02]
4200 [9.86e-01, 1.14e-02]
4300 [9.86e-01, 1.13e-02]
4400 [9.87e-01, 1.13e-02]
4500 [9.86e-01, 1.11e-02]
4600 [9.88e-01, 1.12e-02]
4700 [9.89e-01, 1.11e-02]
4800 [9.89e-01, 1.11e-02]
4900 [9.89e-01, 1.11e-02]
5000 [9.89e-01, 1.10e-02]
5100 [9.90e-01, 1.10e-02]
5200 [9.88e-01, 1.09e-02]
5300 [9.90e-01, 1.09e-02]
5400 [9.89e-01, 1.08e-02]
5500 [9.88e-01, 1.08e-02]
5600 [9.90e-01, 1.07e-02]
5700 [9.91e-01, 1.08e-02]
5800 [9.91e-01, 1.08e-02]
5900 [9.91e-01, 1.08e-02]
6000 [9.92e-01, 1.08e-02]
6100 [9.89e-01, 1.06e-02]
6200 [9.91e-01, 1.07e-02]
6300 [9.92e-01, 1.07e-02]
6400 [9.92e-01, 1.07e-02]
6500 [9.91e-01, 1.06e-02]
6600 [9.93e-01, 1.07e-02]
6700 [9.92e-01, 1.07e-02]
6800 [9.91e-01, 1.05e-02]
6900 [9.92e-01, 1.06e-02]
7000 [9.93e-01, 1.06e-02]
7100 [9.93e-01, 1.06e-02]
7200 [9.93e-01, 1.07e-02]
7300 [9.92e-01, 1.06e-02]
7400 [9.93e-01, 1.06e-02]
7500 [9.93e-01, 1.06e-02]
7600 [9.94e-01, 1.06e-02]
7700 [9.94e-01, 1.06e-02]
7800 [9.94e-01, 1.06e-02]
7900 [9.94e-01, 1.06e-02]
8000 [9.94e-01, 1.06e-02]
8100 [9.94e-01, 1.06e-02]
8200 [9.94e-01, 1.06e-02]
8300 [9.95e-01, 1.06e-02]
8400 [9.94e-01, 1.05e-02]
8500 [9.95e-01, 1.05e-02]
8600 [9.95e-01, 1.06e-02]
8700 [9.94e-01, 1.05e-02]
8800 [9.95e-01, 1.06e-02]
8900 [9.94e-01, 1.05e-02]
9000 [9.94e-01, 1.05e-02]
9100 [9.95e-01, 1.06e-02]
9200 [9.94e-01, 1.05e-02]
9300 [9.94e-01, 1.04e-02]
9400 [9.95e-01, 1.05e-02]
9500 [9.95e-01, 1.05e-02]
9600 [9.95e-01, 1.05e-02]
9700 [9.96e-01, 1.06e-02]
9800 [9.96e-01, 1.06e-02]
9900 [9.96e-01, 1.05e-02]
10000 [9.96e-01, 1.06e-02]
10000 [9.96e-01, 1.06e-02]
